,means,stds
0,0.010589877761668708,0.004647086400185295
1,0.010460906297064202,0.004654936431727821
2,0.010375235328145755,0.004569490011685105
3,0.010296952794673157,0.004503037734835678
4,0.01012275498495891,0.004408081538564109
5,0.010062476792323758,0.004318310349840294
6,0.009915573493712592,0.004246265990968513
7,0.009820606995981638,0.004188116495460833
8,0.009746675138171653,0.004155796320013971
9,0.009608940259127818,0.004068340341753097
10,0.009478560075603382,0.003971402265724268
11,0.009388052921771183,0.003946688852271889
12,0.009308172907557363,0.0038598157731355607
13,0.009197361717444454,0.0038516771698255217
14,0.009018995382610058,0.0036990068734842345
15,0.008931764533078708,0.0036818877785248327
16,0.008829606752397615,0.0036000687894657537
17,0.008753137648903387,0.0035562699070174667
18,0.008631637517667377,0.003430072941629389
19,0.008509055420913165,0.0034082780913363103
20,0.008405593703892524,0.00333549455027435
21,0.008287015051763545,0.003265060016500944
22,0.008220608451431055,0.0032593151241657454
23,0.008099399294585847,0.003193529775240373
24,0.007944264322332865,0.0031124181026525644
25,0.007813314119380743,0.0030395109384698566
26,0.007769036938784423,0.0030060648369189752
27,0.007626235555828164,0.0029504814928152747
28,0.007507648747799239,0.002860779610574616
29,0.0074197711676806865,0.002813906567090787
30,0.007331581647082195,0.002809366436168149
31,0.007204084873545834,0.0027100194152181165
32,0.007099329766939736,0.002678562819023002
33,0.006946884706683733,0.0026104632219509497
34,0.006960903990145249,0.002574557388318274
35,0.006850117099084787,0.0025386382151259858
36,0.006793484167005823,0.002491277682761852
37,0.006700331419386739,0.0024517612160961356
38,0.006644958995572547,0.0023716575968737988
39,0.0065825410939561405,0.002370649052683198
40,0.006525099651224674,0.0023222881346951526
41,0.00641848280935816,0.00227962706227141
42,0.006357088502070389,0.002225301958362886
43,0.006289736983404658,0.0022120690369743026
44,0.006217694531466226,0.0021233794225529634
45,0.00615845558422245,0.002109822745852206
46,0.006087230634730607,0.002041619686285809
47,0.0060357605117874955,0.0020571620041938115
48,0.005961628264353295,0.0019975120305980036
49,0.005886343888147947,0.001937877668723455
50,0.005822231310962571,0.0018955653963456393
51,0.005752071848574705,0.0018688888499041503
52,0.005679659800508989,0.001846334549984409
53,0.005599649047835985,0.0018089287684052808
54,0.005520604217778937,0.0017723889595493449
55,0.005539297315386579,0.0016886834054890543
56,0.005520679291912232,0.001585466734361033
57,0.00553031886285438,0.001558419158827422
